time,lon,lat,ssrd (J/m²)
2016-01-10,119.0,26.0,6652928
2016-01-10,119.25,26.0,6823936
2016-01-10,119.5,26.0,7214080
2016-01-10,119.75,26.0,7704576
2016-01-10,120.0,26.0,8171520
2016-01-10,120.25,26.0,8003584
2016-01-10,120.5,26.0,7687168
2016-01-10,120.75,26.0,7364608
2016-01-10,121.0,26.0,7107584
2016-01-10,121.25,26.0,6930432
2016-01-10,121.5,26.0,6789120
2016-01-10,121.75,26.0,6711296
2016-01-10,122.0,26.0,6664192
2016-01-10,122.25,26.0,6620160
2016-01-10,122.5,26.0,6566912
2016-01-10,122.75,26.0,6509568
2016-01-10,123.0,26.0,6475776
2016-01-10,119.0,25.75,7063552
2016-01-10,119.25,25.75,7216128
2016-01-10,119.5,25.75,7436288
2016-01-10,119.75,25.75,7728128
2016-01-10,120.0,25.75,7967744
2016-01-10,120.25,25.75,7743488
2016-01-10,120.5,25.75,7427072
2016-01-10,120.75,25.75,7117824
2016-01-10,121.0,25.75,6877184
2016-01-10,121.25,25.75,6730752
2016-01-10,121.5,25.75,6623232
2016-01-10,121.75,25.75,6595584
2016-01-10,122.0,25.75,6599680
2016-01-10,122.25,25.75,6569984
2016-01-10,122.5,25.75,6507520
2016-01-10,122.75,25.75,6429696
2016-01-10,123.0,25.75,6359040
2016-01-10,119.0,25.5,7639040
2016-01-10,119.25,25.5,7659520
2016-01-10,119.5,25.5,7785472
2016-01-10,119.75,25.5,7842816
2016-01-10,120.0,25.5,7905280
2016-01-10,120.25,25.5,7744512
2016-01-10,120.5,25.5,7528448
2016-01-10,120.75,25.5,7221248
2016-01-10,121.0,25.5,6900736
2016-01-10,121.25,25.5,6665216
2016-01-10,121.5,25.5,6420480
2016-01-10,121.75,25.5,6377472
2016-01-10,122.0,25.5,6393856
2016-01-10,122.25,25.5,6412288
2016-01-10,122.5,25.5,6372352
2016-01-10,122.75,25.5,6342656
2016-01-10,123.0,25.5,6315008
2016-01-10,119.0,25.25,8222720
2016-01-10,119.25,25.25,8254464
2016-01-10,119.5,25.25,8211456
2016-01-10,119.75,25.25,8179712
2016-01-10,120.0,25.25,8014848
2016-01-10,120.25,25.25,7995392
2016-01-10,120.5,25.25,7841792
2016-01-10,120.75,25.25,7580672
2016-01-10,121.0,25.25,7246848
2016-01-10,121.25,25.25,6658048
2016-01-10,121.5,25.25,6273024
2016-01-10,121.75,25.25,6148096
2016-01-10,122.0,25.25,6153216
2016-01-10,122.25,25.25,6183936
2016-01-10,122.5,25.25,6254592
2016-01-10,122.75,25.25,6261760
2016-01-10,123.0,25.25,6331392
2016-01-10,119.0,25.0,8759296
2016-01-10,119.25,25.0,8814592
2016-01-10,119.5,25.0,8769536
2016-01-10,119.75,25.0,8536064
2016-01-10,120.0,25.0,8302592
2016-01-10,120.25,25.0,8356864
2016-01-10,120.5,25.0,8381440
2016-01-10,120.75,25.0,8115200
2016-01-10,121.0,25.0,7546880
2016-01-10,121.25,25.0,6927360
2016-01-10,121.5,25.0,6218752
2016-01-10,121.75,25.0,6011904
2016-01-10,122.0,25.0,6020096
2016-01-10,122.25,25.0,6109184
2016-01-10,122.5,25.0,6181888
2016-01-10,122.75,25.0,6269952
2016-01-10,123.0,25.0,6375424
2016-01-10,119.0,24.75,9119744
2016-01-10,119.25,24.75,9176064
2016-01-10,119.5,24.75,9185280
2016-01-10,119.75,24.75,8968192
2016-01-10,120.0,24.75,8822784
2016-01-10,120.25,24.75,8911872
2016-01-10,120.5,24.75,8935424
2016-01-10,120.75,24.75,8613888
2016-01-10,121.0,24.75,8044544
2016-01-10,121.25,24.75,7202816
2016-01-10,121.5,24.75,6368256
2016-01-10,121.75,24.75,6166528
2016-01-10,122.0,24.75,6239232
2016-01-10,122.25,24.75,6328320
2016-01-10,122.5,24.75,6309888
2016-01-10,122.75,24.75,6378496
2016-01-10,123.0,24.75,6407168
2016-01-10,119.0,24.5,9347072
2016-01-10,119.25,24.5,9316352
2016-01-10,119.5,24.5,9325568
2016-01-10,119.75,24.5,9495552
2016-01-10,120.0,24.5,9512960
2016-01-10,120.25,24.5,9575424
2016-01-10,120.5,24.5,9472000
2016-01-10,120.75,24.5,9150464
2016-01-10,121.0,24.5,8427520
2016-01-10,121.25,24.5,7531520
2016-01-10,121.5,24.5,6717440
2016-01-10,121.75,24.5,6531072
2016-01-10,122.0,24.5,6632448
2016-01-10,122.25,24.5,6759424
2016-01-10,122.5,24.5,6735872
2016-01-10,122.75,24.5,6529024
2016-01-10,123.0,24.5,6441984
