name,lat,lon,date,monthly_avg_daily_output,monthly_total_output
Datang Power Plant Solar Power Station,25.03079922,121.0522943,2016-01,1.41,43.71
S Solar Power Station,24.9681412107777,121.195915707992,2016-01,1.32,40.92
Central Storage and Transportation Center Solar Power Station,24.3186573666099,120.734573899549,2016-01,1.69,52.39
Dongshi Xinbogong Solar Power Station,24.1856376237957,120.836273237629,2016-01,1.5,46.5
Zhuolan Hostel Solar Power Station,24.2987001695644,120.843935497117,2016-01,2.05,63.55
Taichung Power Plant Solar Power Station,24.2150834430095,120.492476304643,2016-01,2.35,72.85000000000001
Taichung Longjing Solar Power Station,24.2102245769662,120.49448046919,2016-01,2.44,75.64
S Solar Power Station,24.3240137178343,120.7387058252,2016-01,2.26,70.05999999999999
Chiayi Minxiong Solar Power Station,23.5355599830273,120.425556791059,2016-01,1.43,44.33
Yongan Salt Flats Solar Power Station,22.8390146694933,120.207237920011,2016-01,2.56,79.36
Xingda Power Plant Solar Power Station,22.8533278231475,120.201913208534,2016-01,2.5,77.5
S Solar Power Station,22.8375855805298,120.250083741324,2016-01,2.61,80.91
3rd Nuclear Power Plants Solar Power Station,21.9582349300536,120.751731549009,2016-01,2.66,82.46000000000001
Penghu jianshan Solar Power Station,23.5656798008946,119.660719115703,2016-01,1.82,56.42
Penghu Qimei Solar Power Station,23.2043617054284,119.441544822015,2016-01,1.28,39.68
Kinmen Jinsha Solar Power Station,24.4914383049361,118.44936870515,2016-01,2.1,65.10000000000001
Datang Power Plant Solar Power Station,25.03079922,121.0522943,2016-02,1.77,51.33
S Solar Power Station,24.9681412107777,121.195915707992,2016-02,1.55,44.95
Central Storage and Transportation Center Solar Power Station,24.3186573666099,120.734573899549,2016-02,1.91,55.39
Dongshi Xinbogong Solar Power Station,24.1856376237957,120.836273237629,2016-02,1.81,52.49
Zhuolan Hostel Solar Power Station,24.2987001695644,120.843935497117,2016-02,2.32,67.28
Taichung Power Plant Solar Power Station,24.2150834430095,120.492476304643,2016-02,2.47,71.63000000000001
Taichung Longjing Solar Power Station,24.2102245769662,120.49448046919,2016-02,2.63,76.27
S Solar Power Station,24.3240137178343,120.7387058252,2016-02,2.47,71.63000000000001
Chiayi Minxiong Solar Power Station,23.5355599830273,120.425556791059,2016-02,1.84,53.36
Yongan Salt Flats Solar Power Station,22.8390146694933,120.207237920011,2016-02,3.33,96.57000000000001
Xingda Power Plant Solar Power Station,22.8533278231475,120.201913208534,2016-02,3.34,96.86
S Solar Power Station,22.8375855805298,120.250083741324,2016-02,2.92,84.67999999999999
3rd Nuclear Power Plants Solar Power Station,21.9582349300536,120.751731549009,2016-02,3.65,105.85
Penghu jianshan Solar Power Station,23.5656798008946,119.660719115703,2016-02,2.38,69.02
Penghu Qimei Solar Power Station,23.2043617054284,119.441544822015,2016-02,1.75,50.75
Kinmen Jinsha Solar Power Station,24.4914383049361,118.44936870515,2016-02,2.63,76.27
Datang Power Plant Solar Power Station,25.03079922,121.0522943,2016-03,2.15,66.64999999999999
S Solar Power Station,24.9681412107777,121.195915707992,2016-03,1.93,59.83
Central Storage and Transportation Center Solar Power Station,24.3186573666099,120.734573899549,2016-03,2.16,66.96000000000001
Dongshi Xinbogong Solar Power Station,24.1856376237957,120.836273237629,2016-03,1.94,60.14
Zhuolan Hostel Solar Power Station,24.2987001695644,120.843935497117,2016-03,2.36,73.16
Taichung Power Plant Solar Power Station,24.2150834430095,120.492476304643,2016-03,2.47,76.57000000000001
Taichung Longjing Solar Power Station,24.2102245769662,120.49448046919,2016-03,2.69,83.39
S Solar Power Station,24.3240137178343,120.7387058252,2016-03,2.65,82.14999999999999
Chiayi Minxiong Solar Power Station,23.5355599830273,120.425556791059,2016-03,1.74,53.94
Yongan Salt Flats Solar Power Station,22.8390146694933,120.207237920011,2016-03,3.24,100.44000000000001
Xingda Power Plant Solar Power Station,22.8533278231475,120.201913208534,2016-03,3.02,93.62
S Solar Power Station,22.8375855805298,120.250083741324,2016-03,3.18,98.58
3rd Nuclear Power Plants Solar Power Station,21.9582349300536,120.751731549009,2016-03,3.43,106.33
Penghu jianshan Solar Power Station,23.5656798008946,119.660719115703,2016-03,2.75,85.25
Penghu Qimei Solar Power Station,23.2043617054284,119.441544822015,2016-03,2.25,69.75
Kinmen Jinsha Solar Power Station,24.4914383049361,118.44936870515,2016-03,2.59,80.28999999999999
Datang Power Plant Solar Power Station,25.03079922,121.0522943,2016-04,2.7,81.0
S Solar Power Station,24.9681412107777,121.195915707992,2016-04,2.32,69.6
Central Storage and Transportation Center Solar Power Station,24.3186573666099,120.734573899549,2016-04,2.8,84.0
Dongshi Xinbogong Solar Power Station,24.1856376237957,120.836273237629,2016-04,2.65,79.5
Zhuolan Hostel Solar Power Station,24.2987001695644,120.843935497117,2016-04,2.93,87.9
Taichung Power Plant Solar Power Station,24.2150834430095,120.492476304643,2016-04,2.99,89.7
Taichung Longjing Solar Power Station,24.2102245769662,120.49448046919,2016-04,3.18,95.4
S Solar Power Station,24.3240137178343,120.7387058252,2016-04,3.14,94.2
Chiayi Minxiong Solar Power Station,23.5355599830273,120.425556791059,2016-04,2.28,68.39999999999999
Yongan Salt Flats Solar Power Station,22.8390146694933,120.207237920011,2016-04,3.99,119.7
Xingda Power Plant Solar Power Station,22.8533278231475,120.201913208534,2016-04,4.08,122.4
S Solar Power Station,22.8375855805298,120.250083741324,2016-04,3.97,119.10000000000001
3rd Nuclear Power Plants Solar Power Station,21.9582349300536,120.751731549009,2016-04,3.87,116.10000000000001
Penghu jianshan Solar Power Station,23.5656798008946,119.660719115703,2016-04,3.45,103.5
Penghu Qimei Solar Power Station,23.2043617054284,119.441544822015,2016-04,2.89,86.7
Kinmen Jinsha Solar Power Station,24.4914383049361,118.44936870515,2016-04,2.53,75.89999999999999
Datang Power Plant Solar Power Station,25.03079922,121.0522943,2016-05,3.57,110.67
S Solar Power Station,24.9681412107777,121.195915707992,2016-05,3.16,97.96000000000001
Central Storage and Transportation Center Solar Power Station,24.3186573666099,120.734573899549,2016-05,3.57,110.67
Dongshi Xinbogong Solar Power Station,24.1856376237957,120.836273237629,2016-05,2.93,90.83
Zhuolan Hostel Solar Power Station,24.2987001695644,120.843935497117,2016-05,3.3,102.3
Taichung Power Plant Solar Power Station,24.2150834430095,120.492476304643,2016-05,3.89,120.59
Taichung Longjing Solar Power Station,24.2102245769662,120.49448046919,2016-05,4.02,124.61999999999999
S Solar Power Station,24.3240137178343,120.7387058252,2016-05,3.69,114.39
Chiayi Minxiong Solar Power Station,23.5355599830273,120.425556791059,2016-05,2.8,86.8
